City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Cockburn Town,TC,2022-04-27 06:08:10,21.4612,-71.1419,75.76,73,4,15.5
272,Vangaindrano,MG,2022-04-27 06:09:48,-23.35,47.6,76.14,81,100,7.92
273,Teupasenti,HN,2022-04-27 06:09:48,14.2167,-86.7,70.07,88,98,3.04
274,Laerdalsoyri,NO,2022-04-27 06:09:48,61.098,7.4816,43.12,48,0,5.75
275,Kishi,NG,2022-04-27 06:10:49,9.0833,3.85,76.77,82,95,7.9
276,Hofn,IS,2022-04-27 06:10:49,64.2539,-15.2082,42.03,69,81,6.02
277,Sedhiou,SN,2022-04-27 06:10:50,12.7081,-15.5569,74.66,39,14,4.56
278,Kalanguy,RU,2022-04-27 06:10:50,51.0167,116.5167,43.47,16,37,10.45
279,Manokwari,ID,2022-04-27 06:10:50,-0.8667,134.0833,84.07,69,99,8.52
280,Port Lincoln,AU,2022-04-27 06:08:49,-34.7333,135.8667,68.49,68,82,6.55
281,Unai,BR,2022-04-27 06:10:51,-16.3575,-46.9061,65.75,74,0,0.25
282,Uray,RU,2022-04-27 06:10:51,60.1247,64.7758,56.84,83,99,10.47
283,Korla,CN,2022-04-27 06:10:52,41.7597,86.1469,67.01,28,2,4.43
284,Isangel,VU,2022-04-27 06:10:52,-19.55,169.2667,77.38,63,100,14.92
285,Komsomolskiy,UZ,2022-04-27 06:10:52,40.4272,71.7189,65.12,68,75,6.91
286,Grand-Santi,GF,2022-04-27 06:10:53,4.25,-54.3833,72.45,100,93,1.83
287,Bathsheba,BB,2022-04-27 06:10:53,13.2167,-59.5167,77.61,94,40,6.91
288,Ayan,RU,2022-04-27 06:10:54,56.45,138.1667,33.08,77,100,5.95
289,Raga,SS,2022-04-27 06:10:54,8.4596,25.678,83.08,49,83,8.43
290,Colares,PT,2022-04-27 06:10:54,38.7992,-9.4469,58.33,80,0,14.0
291,Kyra,RU,2022-04-27 06:10:55,49.5776,111.9753,46.02,25,54,4.74
292,Nome,US,2022-04-27 06:10:55,64.5011,-165.4064,36.16,86,0,4.61
293,Beidao,CN,2022-04-27 06:10:55,34.5686,105.8933,50.9,72,84,11.65
294,Kavaratti,IN,2022-04-27 06:10:56,10.5669,72.642,85.23,71,28,3.83
